Nâng cấp bắt đầu: 17:02:39_04-02-2026
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/fr/admin_extensions.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/fr/admin_global.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/fr/admin_settings.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/fr/admin_upload.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/fr/admin_zalo.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/fr/global.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/fr/install.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/vi/admin_authors.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/vi/admin_database.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/vi/admin_extensions.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/vi/admin_global.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/vi/admin_settings.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/vi/admin_upload.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/vi/admin_zalo.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/vi/functions.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/vi/global.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/language/vi/install.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/mainfile.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/plugin/cdn_js_css_image.ini | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/plugin/china_censorship.ini | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/plugin/mysql_master_slave.ini | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/plugin/qrcode.ini | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file includes/plugin/qrcode.php | SUCCESS
